author,title,summary
Sophia Arakelyan,From Ballerina to AI Researcher: Part I – buZZrobot,"I’ll dedicate the sequence of blog posts during the OpenAI Scholars program to several aspects of AI technology. Finding your true calling — the key component of happiness
My primary goal with the series of blog posts “From Ballerina to AI researcher” is to show that it’s never too late to embrace a new field, start over again, and find your true calling. I feel lucky that I found my true passion — AI. Founder of buZZrobot.com
The publication aims to cover practical aspects of AI technology, use cases along with interviews with notable people in the AI field. The transformer architecture reduced this problem thanks to the multi-head self-attention mechanism. To me, the technology itself and the AI community — researchers, scientists, people who dedicate their lives to building the most powerful technology of all time with the mission to benefit humanity and make it safe for us — is a great source of energy. The structure of the blog post series
Today, I’m giving an overall intro of what I’m going to cover in my “From Ballerina to AI Researcher” series. Last year, I published the article “From Ballerina to AI writer” where I described how I embraced the technical part of AI without a technical background. Recently, I’ve become a participant in the OpenAI Scholarship Program (OpenAI is a non-profit that gathers top AI researchers to ensure the safety of AI to benefit humanity). Every week for the next three months I’ll publish blog posts sharing my story of transformation from a person dedicated to 15 years of professional dancing and then writing about tech and AI to actually conducting AI research."
Dr. GP Pulipaka,"3 Ways to Apply Latent Semantic Analysis on Large-Corpus Text on macOS Terminal, JupyterLab, and...","Natural language processing in Python with NLTK library applies a low-rank approximation to the term-document matrix. Latent semantic analysis is a technique that applies singular value decomposition and principal component analysis (PCA). Matrix decompositions and latent semantic indexing. The latent semantic analysis is a particular technique in semantic space to parse through the document and identify the words with polysemy with NLKT library. The document can be represented with Z x Y Matrix A, the rows of the matrix represent the document in the collection. An Introduction to Latent Semantic Analysis. Mounting Google Drive on Google Colab. Once the drive is mounted, Colab has access to the datasets from Google drive. Latent semantic analysis
Applying latent semantic analysis on large datasets of text and documents represents the contextual meaning through mathematical and statistical computation methods on large corpus of text. Later, the low-rank approximation aids in indexing and retrieving the document known as latent semantic indexing by clustering the number of words in the document."
Scott Santens,Deep Learning Is Going to Teach Us All the Lesson of Our Lives: Jobs Are for Machines,"During a panel discussion at the end of 2015 at Singularity University, prominent data scientist Jeremy Howard asked “Do you want half of people to starve because they literally can’t add economic value, or not?” before going on to suggest, ”If the answer is not, then the smartest way to distribute the wealth is by implementing a universal basic income.”
AI pioneer Chris Eliasmith, director of the Centre for Theoretical Neuroscience, warned about the immediate impacts of AI on society in an interview with Futurism, “AI is already having a big impact on our economies... My suspicion is that more countries will have to follow Finland’s lead in exploring basic income guarantees for people.”
Moshe Vardi expressed the same sentiment after speaking at the 2016 annual meeting of the American Association for the Advancement of Science about the emergence of intelligent machines, “we need to rethink the very basic structure of our economic system... we may have to consider instituting a basic income guarantee.”
Even Baidu’s chief scientist and founder of Google’s “Google Brain” deep learning project, Andrew Ng, during an onstage interview at this year’s Deep Learning Summit, expressed the shared notion that basic income must be “seriously considered” by governments, citing “a high chance that AI will create massive labor displacement.”
When those building the tools begin warning about the implications of their use, shouldn’t those wishing to use those tools listen with the utmost attention, especially when it’s the very livelihoods of millions of people at stake? The result amazingly is us, and what we’ve been learning about how we work, we’ve now begun applying to the way machines work. Everything we do is generating data like never before, and lots of data is exactly what machines need in order to learn to learn. The idea is to put machines to work for us, but empower ourselves to seek out the forms of remaining work we as humans find most valuable, by simply providing everyone a monthly paycheck independent of work. So the answer to when the game of Go would fall to machines wasn’t even close to ten years. However, despite all these milestones, when asked to estimate when a computer would defeat a prominent Go player, the answer even just months prior to the announcement by Google of AlphaGo’s victory, was by experts essentially, “Maybe in another ten years.” A decade was considered a fair guess because Go is a game so complex I’ll just let Ken Jennings of Jeopardy fame, another former champion human defeated by AI, describe it:
Such confounding complexity makes impossible any brute-force approach to scan every possible move to determine the next best move. Is it to allow us to work more hours for even less pay? It’s routine manual work that Henry Ford transformed by paying people middle class wages to perform, and it’s routine cognitive work that once filled US office spaces. Rules can be written for work that doesn’t change, and that work can be better handled by machines. Is it even possible that many of the jobs we’re creating don’t need to exist at all, and only do because of the incomes they provide?"
Adam Geitgey,Machine Learning is Fun! – Adam Geitgey – Medium,"If we could just figure out the perfect weights to use that work for every house, our function could predict house prices! Machine learning is the idea that there are generic algorithms that can tell you something interesting about a set of data without you having to write any custom code specific to the problem. Once you start seeing how easily machine learning techniques can be applied to problems that seem really hard (like handwriting recognition), you start to get the feeling that you could use machine learning to solve any problem and get an answer as long as you have enough data. To build your app, you feed your training data about each house into your machine learning algorithm. Here’s one way:
First, write a simple equation that represents Step #2 above:
Now let’s re-write exactly the same equation, but using a bunch of machine learning math jargon (that you can ignore for now):
This equation represents how wrong our price estimating function is for the weights we currently have set. A dumb way to figure out the best weights would be something like this:
Start with each weight set to 1.0:
Run every house you know about through your function and see how far off the function is at guessing the correct price for each house:
For example, if the first house really sold for $250,000, but your function guessed it sold for $178,000, you are off by $72,000 for that single house. You can think of machine learning algorithms as falling into one of two main categories — supervised learning and unsupervised learning. Maybe a better definition for “learning” in this case is “figuring out an equation to solve a specific problem based on some example data”. But there’s a problem — you can glance at a house and have a pretty good idea of what a house is worth, but your trainees don’t have your experience so they don’t know how to price their houses. But it’s important to remember that machine learning only works if the problem is actually solvable with the data that you have."
Adam Geitgey,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,"But right now, our neural network can’t do this. But now we want to process images with our neural network. To a computer, an image is really just a grid of numbers that represent how dark each pixel is:
To feed an image into our neural network, we simply treat the 18x18 pixel image as an array of 324 numbers:
The handle 324 inputs, we’ll just enlarge our neural network to have 324 input nodes:
Notice that our neural network also has two outputs now (instead of just one). We need to be smarter about how we process images into our neural network. How in the world do we feed images into a neural network instead of just numbers? Instead of feeding entire images into our neural network as one grid of numbers, we’re going to do something a lot smarter that takes advantage of the idea that an object is the same no matter where it appears in a picture. We created a small neural network to estimate the price of a house based on how many bedrooms it had, how big it was, and which neighborhood it was in:
We also know that the idea of machine learning is that the same generic algorithms can be reused with different data to solve different problems. A neural network takes numbers as input. Now that we have a trained neural network, we can use it! Our program can now recognize birds in images!"
Adam Geitgey,Machine Learning is Fun! Part 4: Modern Face Recognition with Deep Learning,"The end result is we turn the original image into a very simple representation that captures the basic structure of a face in a simple way:
To find faces in this HOG image, all we have to do is find the part of our image that looks the most similar to a known HOG pattern that was extracted from a bunch of other training faces:
Using this technique, we can now easily find faces in any image:
If you want to try this step out yourself using Python and dlib, here’s code showing how to generate and view HOG representations of images. So all we need to do ourselves is run our face images through their pre-trained network to get the 128 measurements for each face. For each step, we’ll learn about a different machine learning algorithm. To find faces in an image, we’ll start by making our image black and white because we don’t need color data to find faces:
Then we’ll look at every single pixel in our image one at a time. Then we could measure our unknown face the same way and find the known face with the closest measurements. But instead of training the network to recognize pictures objects like we did last time, we are going to train it to generate 128 measurements for each face. We need to build a pipeline where we solve each step of face recognition separately and pass the result of the current step to the next step. Machine learning people call the 128 measurements of each face an embedding. The simplest approach to face recognition is to directly compare the unknown face we found in Step 2 with all the pictures we have of people that have already been tagged. It turns out that the measurements that seem obvious to us humans (like eye color) don’t really make sense to a computer looking at individual pixels in an image."
Xiaohan Zeng,"I interviewed at five top companies in Silicon Valley in five days, and luckily got five job offers","Three are machine learning engineer (LinkedIn, Google, Facebook), one is data engineer (Salesforce), and one is software engineer in general (Airbnb). In the five days from July 24th to 28th 2017, I interviewed at LinkedIn, Salesforce Einstein, Google, Airbnb, and Facebook, and got all five job offers. The bar is very high and the process is quite long, including one pre-screening questionnaire, one phone screening, one coding assignment, and one full onsite. One thing that I felt special about Google’s interviews is that the analysis of algorithm complexity is really important. I was able to skip the second round phone screening with Airbnb and Salesforce because I got the onsite at LinkedIn and Facebook after only one phone screening. The only difference is in the duration: For some companies like LinkedIn it’s one hour, while for Facebook and Airbnb it’s 45 minutes. Therefore I needed to prepare for three different areas: coding, machine learning, and system design. For machine learning positions some companies would ask ML questions. Here are some resources that I found really helpful:
Although system design interviews can cover a lot of topics, there are some general guidelines for how to approach the problem:
With all that said, the best way to practice for system design interviews is to actually sit down and design a system, i.e. I flew in on Sunday, had five full days of interviews with around 30 interviewers at some best tech companies in the world, and very luckily, got job offers from all five of them."
Gil Fewster,The mind-blowing AI announcement from Google that you probably missed.,"Up until September of last year, Google Translate used phrase-based translation. All that changed in September, when Google gave their translation tool a new engine: the Google Neural Machine Translation system (GNMT). Phrase-based translation has no capacity to make educated guesses at words it doesn’t recognize, and can’t learn from new input. Not only was the article competing with the pre-Christmas rush that most of us were navigating — it was also tucked away on Google’s Research Blog, beneath the geektastic headline Zero-Shot Translation with Google’s Multilingual Neural Machine Translation System. Here’s Google’s Mike Schuster, Nikhil Thorat, and Melvin Johnson from the original blog post:
Here you can see an advantage of Google’s new neural machine over the old phrase-based approach. A neural computing system designed to translate content from one human language into another developed its own internal language to make the task more efficient. Which is a shame, because it may just be the most astonishing article about machine learning that I read last year. Google Translate invented its own language to help it translate more effectively. The short version is that Google Translate got smart. Phrase-based translation is a blunt instrument."
Adam Geitgey,Machine Learning is Fun! Part 2 – Adam Geitgey – Medium,"Once I had all that data, I could use it to build a neural network to model how likely it is that you would start with any given letter. There just aren’t enough levels in the original Super Mario Brothers game to provide enough data for a really good model. I ended up with text files that looked like this:
Looking at the text file, you can see that Mario levels don’t really have much of a pattern if you read them line-by-line:
The patterns in a level really emerge when you think of the level as a series of columns:
So in order for the algorithm to find the patterns in our data, we need to feed the data in column-by-column. First, we need a data set for training our model. Because of this, it can model more cases than we could capture in one simple model. Let’s say I need to guess the next letter you are going to type at any point in your story. Can we use the same model that generated fake Hemingway text to generate fake Super Mario Brothers levels? With a lot more training, the model gets to the point where it generates perfectly valid data:
Let’s sample an entire level’s worth of data from our model and rotate it back horizontal:
This data looks great! Let’s use the first few words of Ernest Hemingway’s The Sun Also Rises as an example:
What letter is going to come next? But the one thing this kind of model can’t do is respond to patterns in data over time."
David Venturi,"Every single Machine Learning course on the internet, ranked by your reviews",It has a 4-star weighted average rating over 3 reviews. It has a 3.6-star weighted average rating over 5 reviews. It has a 4-star weighted average rating over 4 reviews. It has a 4.5-star weighted average rating over 6 reviews. It has a 2-star weighted average rating over 2 reviews. It has a 4.5-star weighted average rating over 2 reviews. Free and paid options available. Free and paid options available. Free and paid options available. Free and paid options available.
Michael Jordan,Artificial Intelligence — The Revolution Hasn’t Happened Yet,"As for the necessity argument, it is sometimes argued that the human-imitative AI aspiration subsumes IA and II aspirations, because a human-imitative AI system would not only be able to solve the classical problems of AI (as embodied, e.g., in the Turing test), but it would also be our best bet for solving IA and II problems. First, although one would not know it from reading the newspapers, success in human-imitative AI has in fact been limited — we are very far from realizing human-imitative AI aspirations. We need to solve IA and II problems on their own merits, not as a mere corollary to a human-imitative AI agenda. Whereas civil engineering and chemical engineering were built on physics and chemistry, this new engineering discipline will be built on ideas that the preceding century gave substance to — ideas such as “information,” “algorithm,” “data,” “uncertainty,” “computing,” “inference,” and “optimization.” Moreover, since much of the focus of the new discipline will be on data from and about humans, its development will require perspectives from the social sciences and humanities. One could argue that an AI system would not only imitate human intelligence, but also “correct” it, and would also scale to arbitrarily large problems. However, the current focus on doing AI research via the gathering of data, the deployment of “deep learning” infrastructure, and the demonstration of systems that mimic certain narrowly-defined human skills — with little in the way of emerging explanatory principles — tends to deflect attention from major open problems in classical AI. In the current era, we have a real opportunity to conceive of something historically new — a human-centric engineering discipline. It is those challenges that need to be in the forefront, and in such an effort a focus on human-imitative AI may be a distraction. The past two decades have seen major progress — in industry and academia — in a complementary aspiration to human-imitative AI that is often referred to as “Intelligence Augmentation” (IA). These are classical goals in human-imitative AI, but in the current hubbub over the “AI revolution,” it is easy to forget that they are not yet solved."
Eran Kampf,Data Mining — Handling Missing Values the Database – DeveloperZen,"Replace missing values of an attribute with the mean (or median if its discrete) value for that attribute in the database. Assuming the state of residence attribute data is missing for some students. Another example could be using a decision tree to try and predict the probable value in the missing attribute, according to other attributes in the data. For example, let’s say we have a database of students enrolment data (age, SAT score, state of residence, etc.) Let’s say you have a cars pricing database that, among other things, classifies cars to “Luxury” and “Low budget” and you’re dealing with missing values in the cost field. This is usually done when the class label is missing (assuming your data mining goal is classification), or many attributes are missing from the row (not just one). So how can you handle missing values in your database? One of the important stages of data mining is preprocessing, where we prepare the data for mining. I’ve recently answered Predicting missing data values in a database on StackOverflow and thought it deserved a mention on DeveloperZen. ...) and our goal for the data mining process."
Oliver Lindberg,"Interview with Google’s Alfred Spector on voice search, hybrid intelligence and more","VP of research Alfred Spector talks to Oliver Lindberg about the technologies emerging from Google Labs — from voice search to hybrid intelligence and beyond
This article originally appeared in issue 198 of .net magazine in 2010 and was republished at www.techradar.com. One of the areas Google is making significant advances in is voice search. “We need to get computers and people communicating in both directions, so the computer learns from the human and makes the human more effective.”
Examples of ‘hybrid intelligence’ are Google Suggest, which instantly offers popular searches as you type a search query, and the ‘did you mean?’ feature in Google search, which corrects you when you misspell a query in the search bar. “Voice is one of these grand technology challenges in computer science,” Spector explains. “One idea is to take all of the voices that the system hears over time into one huge pan-human voice model. “Can a computer understand the human voice? Google’s a pretty good search engine, right? We hired one of the best database researchers in the world, Alon Halevy, to lead it.”
Google is aiming to make more information available more easily across multiple devices, whether it’s images, videos, speech or maps, no matter which language we’re using. It’s the most spoken language in the world, but as it isn’t exactly keyboard-friendly, voice search could become immensely popular in China. It’s a fundamentally challenging problem.”
One example of conceptual search is Google Image Swirl, which was added to Labs in November."
Xu Wenhao,建议的程序员学习LDA算法的步骤 – 蒸汽与魔法,"这一阵为了工作上的关系,花了点时间学习了一下LDA算法,说实话,对于我这个学CS而非学数学的人来说,除了集体智慧编程这本书之外基本没怎么看过机器学习的人来说,一开始还真是摸不太到门道,前前后后快要四个月了,算是基本了解了这个算法的实现,记录一下,也供后来人快速入门做个参考。
一开始直接就下了Blei的原始的那篇论文来看,但是看了个开头就被Dirichlet分布和几个数学公式打倒,然后因为专心在写项目中的具体的代码,也就先放下了。但是因为发现完全忘记了本科学的概率和统计的内容,只好回头去看大学时候概率论的教材,发现早不知道借给谁了,于是上网买了本,花了几天时间大致回顾了一遍概率论的知识,什么贝叶斯全概率公式,正态分布,二项分布之类的。后来晚上没事儿的时候,去水木的AI版转了转,了解到了Machine Learning的圣经PRML,考虑到反正也是要长期学习了,搞了电子版,同时上淘宝买了个打印胶装的版本。春节里每天晚上看一点儿,扫了一下前两章,再次回顾了一下基本数学知识,然后了解了下贝叶斯学派那种采用共轭先验来建模的方式。于是再次尝试回头去看Blei的那篇论文,发现还是看不太懂,于是又放下了。然后某天Tony让我准备准备给复旦的同学们share一下我们项目中LDA的使用,为了不露怯,又去翻论文,正好看到Science上这篇Topic Models Vs. Unstructured Data的科普性质的文章,翻了一遍之后,再去PRML里看了一遍Graphic Models那一张,觉得对于LDA想解决的问题和方法了解了更清楚了。之后从search engine里搜到这篇文章,然后根据推荐读了一部分的Gibbs Sampling for the Uninitiated。之后忘了怎么又搜到了Mark Steyvers和Tom Griffiths合著的Probabilistic Topic Models,在某个周末往返北京的飞机上读完了,觉得基本上模型训练过程也明白了。再之后就是读了一下这个最简版的LDA Gibbs Sampling的实现,再回过头读了一下PLDA的源码,基本上算是对LDA有了个相对清楚的了解。
这样前前后后,也过去了三个月,其实不少时间都是浪费掉的,比如Blei的论文在没有任何相关知识的情况下一开始读了好几次,都没读完而且得到到信息也很有限,如果重新总结一下,我觉得对于我们这些门外汉程序员来说,想了解LDA大概需要这些知识:
基本上这样一圈下来,基本概念和算法实现都应该搞定了,当然,数学证明其实没那么容易就搞定,但是对于工程师来说,先把这些搞定就能干活了,这个步骤并不适合各位读博士发论文的同学们,但是这样先看看也比较容易对于这些数学问题的兴趣,不然,成天对这符号和数学公式,没有整块业余时间的我是觉得还是容易退缩放弃的。
发现作为工程师来说,还是看代码比较有感觉,看实际应用的实例比较有感觉,看来不能把大部分时间花在PRML上,还是要多对照着代码看。
From a quick cheer to a standing ovation, clap to show how much you enjoyed this story. Facebook Messenger & Chatbot, Machine Learning & Big Data
生命如此短暂,掌握技艺却要如此长久"
Netflix Technology Blog,Netflix Recommendations: Beyond the 5 stars (Part 1),"Similarity is also an important source of personalization in our service. Streaming has not only changed the way our members interact with the service, but also the type of data available to use in our algorithms. Netflix launched an instant streaming service in 2007, one year after the Netflix Prize began. Knowing about your friends not only gives us another signal to use in our personalization algorithms, but it also allows for different rows that rely mostly on your social circle to generate recommendations. It is also used to generate rows of “adhoc genres” based on similarity to titles that a member has interacted with recently. Also, our focus on improving Netflix personalization had shifted to the next level by then. Now it is clear that the Netflix Prize objective, accurate prediction of a movie’s rating, is just one of the many components of an effective recommendation system that optimizes our members enjoyment. It is important to keep in mind that Netflix’ personalization is intended to handle a household that is likely to have different people with different tastes. by Xavier Amatriain and Justin Basilico (Personalization Science and Engineering)
In this two-part blog post, we will open the doors of one of the most valued Netflix assets: our recommendation system. One of the reasons our focus in the recommendation algorithms has changed is because Netflix as a whole has changed dramatically in the last few years."
Netflix Technology Blog,Netflix Recommendations: Beyond the 5 stars (Part 2),"But member ratings are only one of the many data sources we have and rating predictions are only part of our solution. One obvious way to approach this is to use the member’s predicted rating of each item as an adjunct to item popularity. An interesting follow-up question that we have faced is how to integrate our machine learning approaches into this data-driven A/B test culture at Netflix. Since the most common way of presenting recommended items is in some form of list, such as the various rows on Netflix, we need an appropriate ranking model that can use a wide variety of information to come up with an optimal ranking of the items for each of our members. At Netflix, we are fortunate to have many relevant data sources and smart people who can select optimal algorithms to turn data into product features. A/B tests let us try radical ideas or test many approaches at the same time, but the key advantage is that they allow our decisions to be data-driven. For the purposes of illustration, let us start with a very simple scoring approach by choosing our ranking function to be a linear combination of popularity and predicted rating. Thus, the goal becomes to find a personalized ranking function that is better than item popularity, so we can better satisfy members with varying tastes. Another possible answer involves formulating this as a machine learning problem: select positive and negative examples from your historical data and let a machine learning algorithm learn the weights that optimize your goal. This is an incomplete list of methods you should probably know about if you are working in machine learning for personalization:
Consumer Data Science
The abundance of source data, measurements and associated experiments allow us to operate a data-driven organization."
